Job Title,URL,Company Name,Work Mode,Experience Required,Salary,Location,Post Rating,No. of Reviews,Post Age,Job Openings,No. of Applicants,Role Name,Industry Type,Department,Employment Type,Role Category,UG Requirements,PG Requirements,Skills Required
Research Analyst,https://www.naukri.com/job-listings-research-analyst-crisil-limited-mumbai-1-to-3-years-120624006845,Crisil,Work From Office,1 - 3 years,Not Disclosed,Mumbai,3.7,1400 Reviews,11 days ago,,667,Equity Research Analyst,Financial Services,BFSI Investments & Trading,"Full Time, Permanent","Trading, Asset & Wealth Management",Any Graduate,"Any Postgraduate, CA in Any Specialization","financial analysis, analytical, mathematics, equity research, investment banking, presentation skills, research analysis, investment, business analysis, market research, research, new product development, excel, compliance, writing, financial modelling, mutual funds, fixed income, cfa"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-simplilearn-solutions-bengaluru-0-to-1-years-230224501451,Simplilearn,Work From Office,0 - 1 years,Not Disclosed,Bengaluru,3.2,607 Reviews,30+ days ago,1,7958,Research Associate / Engineer,Education / Training,Research & Development,"Full Time, Permanent",Pharmaceutical & Biotechnology,Any Graduate,Any Postgraduate,"Cloud computing, C++, cyber security, devops, Machine learning, Programming, Research, Research Analyst, Python"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-simplilearn-solutions-bengaluru-0-to-1-years-050224501936,Simplilearn,Work From Office,0 - 1 years,Not Disclosed,Bengaluru,3.2,607 Reviews,30+ days ago,1,8728,Research Associate / Engineer,Education / Training,Research & Development,"Full Time, Permanent",Pharmaceutical & Biotechnology,Any Graduate,Any Postgraduate,"Computer science, Cloud computing, C++, cyber security, devops, Machine learning, Research, Research Analyst, microsoft, Python"
Research Analyst (SWAT),https://www.naukri.com/job-listings-research-analyst-swat-flexisales-pune-0-to-1-years-101123500899,Flexisales Marketing,Work From Office,0 - 1 years,Not Disclosed,Pune,2.7,44 Reviews,30+ days ago,1,2038,Market Research Executive,Advertising & Marketing,Marketing & Communication,"Full Time, Permanent",Market Research & Insights,Any Graduate,Any Postgraduate,"Online research, Outbound, Lead generation, Bloomberg, Hoovers, MQL, Inside sales, Research Analyst, Information technology, SQL"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-demandbase-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-140624500236,Demandbase,Work From Office,2 - 4 years,Not Disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4.5,17 Reviews,8 days ago,1,327,Business Analyst,Advertising & Marketing,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"Any Graduate, B.B.A/ B.M.S in Management",Any Postgraduate,"SAN, Data analysis, Usage, Business research, Analytical, Management consulting, Agile, Customer support, Data quality, MS Office"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-y-axis-hyderabad-0-to-4-years-100523501874,Y Axis,Work From Office,0 - 4 years,Not Disclosed,Hyderabad,3.5,489 Reviews,30+ days ago,1,1277,Research Associate / Engineer,Aviation,Research & Development,"Full Time, Permanent",Pharmaceutical & Biotechnology,Any Graduate,Any Postgraduate,Research Analyst
Research Analyst / Associate,https://www.naukri.com/job-listings-research-analyst-associate-modern-india-limited-mumbai-all-areas-3-to-5-years-140624006368,Modern India Limited,Work From Office,3 - 5 years,Not Disclosed,Mumbai (All Areas)( Nariman Point ),3.7,203 Reviews,9 days ago,1,132,Analyst - Financial Planning & Analysis,Miscellaneous,Finance & Accounting,"Full Time, Permanent",Finance,PG: MBA/PGDM in Finance,,"Financial Analysis, Equity Research, Investment Research, Financial Modelling, CFA, Portfolio Management, Financial Research, Valuation, Portfolio Analysis, Financial Advisory, CFP, Portfolio Planning, Investment Advisory, Investment Analysis, Valuation Analysis"
Ecommerce Analyst / Research Analyst,https://www.naukri.com/job-listings-ecommerce-analyst-research-analyst-myvirtualdesks-pune-0-to-3-years-311023502441,Myvirtualdesks,Work From Office,0 - 3 years,Not Disclosed,Pune,,,30+ days ago,1,1857,Research & Development - Other,Real Estate,Research & Development,"Full Time, Permanent",Research & Development - Other,"B.Tech/B.E. in Any Specialization, BCA in Computers, Diploma in Mechanical","MCA in Computers, M.Tech in Any Specialization","Sales, Senior management, Data collection, Market research, E-commerce, Research Analyst"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-introspective-market-research-pune-0-to-3-years-051023500930,Introspective Market Research,Work From Office,0 - 3 years,Not Disclosed,Pune,3.2,3 Reviews,30+ days ago,1,1259,Research & Development - Other,Advertising & Marketing,Research & Development,"Full Time, Permanent",Research & Development - Other,"B.Sc in Any Specialization, BCA in Computers, Any Graduate","MCA in Computers, Any Postgraduate, MBA/PGDM in Any Specialization","Quality standards, Excel, Sales, query, UPS, Business Development Executive, Research, Management, Research Analyst, Monitoring"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-skycognitive-pune-0-to-1-years-030624502270,Skycognitive,Work From Office,0 - 1 years,Not Disclosed,Pune,,,19 days ago,1,913,Market Research Executive,IT Services & Consulting,Marketing & Communication,"Full Time, Permanent",Market Research & Insights,Any Graduate,Any Postgraduate,"Excel, C, Networking, Sales operations, Database, Market research, Research, Research Analyst, Secondary research, CRM"
