Index,Page Number,Company Name,Job Description,Skills Required,Location,Experience,Job Posted,More Info,Applicants,Specialization,Qualification,Employment Type,Company Website,Company Industry,Salary Range,Job Type
10,1,virtusa consulting services pvt. ltd.,"Machine Learning Engineer - CREQ179582Description:Proven experience as a Machine Learning Engineer ,  Data Scientist ,  or related role. Strong programming skills in Python. F...","machinelearning, pythonprogramming, statisticalanalysis, dataanalysis, cloudplatforms, effectivecommunication, jobposting",,5 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-virtusa-consulting-services-pvt-ltd-5-to-8-yrs-jobid-bku__PLUS__VG99JKdzpSvf__PLUS__uAgZw==&source=srp,N/A,Recruitment,"ME/ M.Tech./ MS (Engg/ Sciences)
                    
                    
                  

                    Any Graduate",Full Time,http://www.virtusa.com,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
11,1,virtusa consulting services pvt. ltd.,"Machine Learning Engineer - CREQ179559DescriptionProven experience as a Machine Learning Engineer ,  Data Scientist ,  or related role. Strong programming skills in Python. Fa...","pythonprogramming, machinelearning, tensorflow, dataanalysis, cloudplatforms, effectivecommunication, jobposting",Chennai,3 - 9 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-virtusa-consulting-services-pvt-ltd-chennai-3-to-9-yrs-jobid-u6Ayyz9pqwhzpSvf__PLUS__uAgZw==&source=srp,N/A,Recruitment,"ME/ M.Tech./ MS (Engg/ Sciences)
                    
                    
                  

                    Any Graduate",Full Time,http://www.virtusa.com,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
12,1,Analytics Vidhya,Machine Learning EngineerMachine Learning Engineer FigMdPune INR 12 - 17 LPA Experience : 6 YRS. Openings: 3Details:FIGmd is the only company that is directly ingesting data f...,"algorithms, python, teamplayer, machinelearning, artificialintelligence, java, datastructures, softwareengineering",Pune,6 - 9 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-pune-6-to-9-yrs-jobid-S36L4x7l__PLUS__ppzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    Any Graduate",Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
13,1,Analytics Vidhya,Machine Learning engineer- Delhi / NCR  ( 3  Years Of Experience ) Machine Learning engineer- Delhi / NCR  ( 3  Years Of Experience )  A Client of Analytics VidhyaGurgaon INR ...,"hive, scala, pig, java, hadoop, mongodb, python, algorithmdevelopment, mining, machinelearning, nosql, mapreduce, cassandra","Gurgaon,  Delhi,  Delhi/NCR",3 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-delhi-delhi-ncr-3-to-6-yrs-jobid-K1aanuVPLAdzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"Ph.D. (Doctorate)
                    
                    
                  

                    Any Graduate",Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
14,1,Analytics Vidhya,Machine Learning Engineer- Gurugram  ( 4  Years of Experience ) Machine Learning Engineer- Gurugram  ( 4  Years of Experience )  A Client of Analytics VidhyaGurugram INR 15 - ...,"algorithms, datamining, artificialintelligence, sql, python, informationretrieval, mobile, machinelearning, applicationsupport",Gurgaon,4 - 7 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-4-to-7-yrs-jobid-Do8oOjFJvMhzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    Any Graduate",Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
15,1,TAC Security,Machine Learning EngineerApply For This RoleWHAT YOU'LL BE DOINGEnsures software applications are built with quality while conforming to corporate and regulatory processes and...,"san, python, enterprisesecurity, machinelearning, artificialintelligence, database, security, mysql, hadoop, bigdata",Mumbai,0 - 3 yrs,Posted 6 days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-tac-security-mumbai-0-to-3-yrs-jobid-mY7RIWKi8GtzpSvf__PLUS__uAgZw==&source=srp,83,Software Engineer,"ML/ LLM (Law)
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,http://www.tacsecurity.co.in,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
16,1,Analytics Vidhya,"Responsibilities:Build creative ,  reliable and scalable machine learning and analytics platform in an agile software development environmentContinually evolve the platform as...","algorithms, python, scala, machinelearning, nosql, java, cassandra, writtencommunication, hdfs, cloudcomputing, bigdata",Gurgaon,6 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-6-to-8-yrs-jobid-nzpPIUfglLNzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
17,1,noon academy,"As our founding ML engineer ,  you will lead our AI Platform team by creating a vision and roadmap for the ML infrastructure used across the Noon App. Incorporate the latest A...","naturallanguageprocessing, userinteraction, storage, machinelearning, database, cassandra, infrastructure, mysql, bigdata, mongodb",,5 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/principal-machine-learning-engineer-noon-academy-5-to-8-yrs-jobid-9b5BC5lomnlzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,BE/ B.Tech (Engineering),Full Time,http://www.noonacademy.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
18,1,Analytics Vidhya,"- Work closely with business groups on complex and ambiguous business problems using an interdisciplinary approach.- Understand the problem in-depth ,  map it using a structur...","algorithms, python, algorithmdevelopment, machinelearning, pig, java, infrastructure, hadoop, bigdata",Mumbai,3 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-mumbai-3-to-6-yrs-jobid-4WpNlptNauJzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
19,1,Informatica,"# Job Number37128**Primary Location:** Bangalore ,  Karnataka IN**Experience Level:** Mid-Senior Level**Travel Requirement:** Limited---Build Your Career at Informatica  We're...","machinelearning, aialgorithms, mlops, cloudmanagement, mlpipelines, artificialintelligence, cloudservices, infrastructure","Bengaluru / Bangalore,  null",3 - 7 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/senior-machine-learning-engineer-informatica-bengaluru-bangalore-null-3-to-7-yrs-jobid-uXJIDiKJDk5zpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"ME/ M.Tech./ MS (Engg/ Sciences)
                    
                    
                  

                    BA (Arts)",Full Time,https://www.informatica.com/,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
